age,income,savings,experience,horizon,risk_score,risk_profile
35,2928362,4730323,3,28,76,Aggressive
56,2994379,980333,7,4,35,Moderate
33,2436252,2777618,2,7,58,Moderate
27,2033332,2725675,11,2,58,Moderate
52,2545429,4464125,9,10,73,Aggressive
55,1657501,4004916,1,29,62,Moderate
58,2641436,1276665,1,18,45,Moderate
19,1586355,1461718,15,30,70,Aggressive
29,1416547,3054957,16,9,75,Aggressive
36,1379595,3112827,13,14,67,Moderate
43,693693,377944,12,14,56,Moderate
36,2773098,1538367,5,9,58,Moderate
24,2086995,4405969,8,20,82,Aggressive
29,1431649,1292857,13,14,61,Moderate
47,982732,1513844,5,18,61,Moderate
51,2098784,1432043,4,1,43,Moderate
30,864898,934652,14,4,63,Moderate
37,2560978,790328,1,18,63,Moderate
64,2215546,2927852,3,30,73,Aggressive
41,1681671,3288778,6,14,70,Aggressive
58,2943173,3295949,4,8,52,Moderate
57,1935797,1078865,18,22,56,Moderate
25,2232404,4145792,9,11,90,Aggressive
20,2035183,3292778,3,15,72,Aggressive
50,963912,2847323,16,26,65,Moderate
31,2611853,1548849,12,11,64,Moderate
50,1669658,3492319,5,1,56,Moderate
57,395308,1968981,8,7,40,Moderate
47,1417322,2104197,19,14,70,Aggressive
30,1099545,3656940,11,1,55,Moderate
54,1915921,4203291,4,4,48,Moderate
18,1375344,2178270,12,15,76,Aggressive
52,2889346,1111670,8,15,57,Moderate
28,2249930,1600076,12,19,81,Aggressive
28,2697101,545330,2,3,53,Moderate
23,1560940,4818158,9,26,93,Aggressive
44,1092487,4954955,18,19,73,Aggressive
48,2128016,909552,20,6,51,Moderate
62,818389,3087274,14,4,51,Moderate
27,1327172,1786537,16,20,80,Aggressive
47,2902650,999025,12,21,77,Aggressive
49,1014700,861126,3,17,39,Moderate
29,329292,1009356,2,13,32,Conservative
21,2950204,699987,18,13,77,Aggressive
40,506600,789603,9,18,61,Moderate
33,1614395,606605,14,1,55,Moderate
27,2448352,3433041,20,7,75,Aggressive
26,1714224,815388,19,11,67,Moderate
18,2817152,2491217,19,19,98,Aggressive
31,2223260,349897,6,6,44,Moderate
55,2801987,3345485,13,5,56,Moderate
57,898408,580466,7,6,29,Conservative
35,2143245,1212748,15,12,68,Moderate
54,758105,2443458,15,22,64,Moderate
37,1052981,3370444,18,1,58,Moderate
23,2704244,4570397,5,29,80,Aggressive
41,2628469,4232966,19,14,93,Aggressive
59,1803362,2951888,15,2,50,Moderate
31,1240945,2105901,12,12,75,Aggressive
45,1538237,1268415,20,7,62,Moderate
45,2059011,2776858,6,11,75,Aggressive
42,1339061,3373155,9,12,64,Moderate
62,645002,1162399,2,14,29,Conservative
